1896	208543.00
1900	1842983.00
1904	1392370.00
1906	863188.00
1908	4145281.00
1912	4778437.00
1920	5148681.00
1924	6879790.00
1928	6359141.00
1932	2692310.00
1936	9332665.00
1948	9204250.00
1952	10783061.00
1956	6894084.00
1960	10577986.00
1964	10393295.00
1968	10603710.00
1972	13579672.00
1976	11618454.00
1980	10131305.00
1984	12867743.00
1988	15482129.00
1992	16766830.00
1994	2062331.00
1996	16222742.00
1998	2902877.00
2000	15621997.00
2002	3055033.00
2004	14557024.00
2006	3168015.00
2008	15914798.00
2010	3356101.00
2012	14839040.00
2014	3428273.00
2016	17379790.00
2018	3837465.00
2020	21526163.00
2022	3507778.00
